speaker_id,first_name,last_name,chamber,type,party,state,district,bio_guide_id,congress_id
2127.0,Cheri,BUSTOS,HOUSE,REPRESENTATIVE,D,IL,17.0,B001286,113.0
1761.0,G.,BUTTERFIELD,HOUSE,REPRESENTATIVE,D,NC,1.0,B001251,113.0
,,BUTTERWORTH,,,,,,,
160.0,Steve,BUYER,HOUSE,REPRESENTATIVE,R,IN,5.0,B001203,107.0
1299.0,Robert,BYRD,SENATE,SENATOR,D,WV,,B001210,107.0
2197.0,Bradley,BYRNE,HOUSE,REPRESENTATIVE,R,AL,1.0,B001289,113.0
,,BYRON,,,,,,,
,,C,,,,,,,
,,CAARDENAS,,,,,,,
,,CAIN,,,,,,,
164.0,Sonny,CALLAHAN,HOUSE,REPRESENTATIVE,R,AL,1.0,C000052,107.0
165.0,Ken,CALVERT,HOUSE,REPRESENTATIVE,R,CA,42.0,C000059,113.0
166.0,Dave,CAMP,HOUSE,REPRESENTATIVE,R,MI,4.0,C000071,113.0
1816.0,John,CAMPBELL,HOUSE,REPRESENTATIVE,R,CA,45.0,C001064,113.0
170.0,Tom,CAMPBELL,HOUSE,REPRESENTATIVE,R,CA,15.0,C000100,106.0
168.0,Ben,CAMPBELL,SENATE,SENATOR,R,CO,,C000077,107.0
,,CAMPELL,,,,,,,
171.0,Charles,CANADY,HOUSE,REPRESENTATIVE,R,FL,12.0,C000107,106.0
1470.0,Chris,CANNON,HOUSE,REPRESENTATIVE,R,UT,3.0,C000116,107.0
2066.0,Francisco,CANSECO,HOUSE,REPRESENTATIVE,R,TX,23.0,C001082,112.0
,,CANTON,,,,,,,
1674.0,Eric,CANTOR,HOUSE,REPRESENTATIVE,R,VA,7.0,C001046,113.0
172.0,Maria,CANTWELL,SENATE,SENATOR,D,WA,,C000127,113.0
1923.0,Anh,CAO,HOUSE,REPRESENTATIVE,R,LA,2.0,C001079,111.0
1676.0,Shelley,CAPITO,HOUSE,REPRESENTATIVE,R,WV,2.0,C001047,113.0
,,CAPITOL,,,,,,,
,,CAPO,,,,,,,
1471.0,Lois,CAPPS,HOUSE,REPRESENTATIVE,D,CA,24.0,C001036,113.0
1472.0,Walter,CAPPS,HOUSE,REPRESENTATIVE,D,CA,22.0,C000134,105.0
1564.0,Michael,CAPUANO,HOUSE,REPRESENTATIVE,D,MA,7.0,C001037,113.0
2310.0,Salud,CARBAJAL,HOUSE,,D,CA,,C001112,115.0
2107.0,Tony,CARDENAS,HOUSE,REPRESENTATIVE,D,CA,29.0,C001097,113.0
174.0,Benjamin,CARDIN,SENATE,SENATOR,D,MD,,C000141,113.0
1709.0,Dennis,CARDOZA,HOUSE,REPRESENTATIVE,D,CA,18.0,C001050,112.0
1680.0,Jean,CARNAHAN,SENATE,SENATOR,D,MO,,C001043,107.0
1789.0,Russ,CARNAHAN,HOUSE,REPRESENTATIVE,D,MO,3.0,C001060,112.0
1876.0,Christopher,CARNEY,HOUSE,REPRESENTATIVE,D,PA,10.0,C001065,110.0
1999.0,John,CARNEY,HOUSE,REPRESENTATIVE,D,DE,0.0,C001083,113.0
179.0,Thomas,CARPER,SENATE,SENATOR,D,DE,,C000174,113.0
,,CARPO,,,,,,,
180.0,Bob,CARR,HOUSE,,D,MI,,C000178,103.0
