speaker_id,first_name,last_name,type,party,state,district,bio_guide_id,congress_id
1339,John,GLENN,SENATOR,D,OH,,G000236,105
1801,Louie,GOHMERT,REPRESENTATIVE,R,TX,1,G000552,113
445,Henry,GONZALEZ,REPRESENTATIVE,D,TX,20,G000272,105
1555,Charles,GONZALEZ,REPRESENTATIVE,D,TX,20,G000544,107
1486,Virgil,GOODE,REPRESENTATIVE,R,VA,5,G000280,107
446,Bob,GOODLATTE,REPRESENTATIVE,R,VA,6,G000289,113
447,William,GOODLING,REPRESENTATIVE,R,PA,19,G000291,106
448,Bart,GORDON,REPRESENTATIVE,D,TN,6,G000309,107
1341,Slade,GORTON,SENATOR,R,WA,,G000333,106
1992,Paul,GOSAR,REPRESENTATIVE,R,AZ,4,G000565,113
450,Porter,GOSS,REPRESENTATIVE,R,FL,14,G000336,107
2058,Trey,GOWDY,REPRESENTATIVE,R,SC,4,G000566,113
2234,Gwen,GRAHAM,REPRESENTATIVE,D,FL,2,G000575,114
1342,Bob,GRAHAM,SENATOR,D,FL,,G000352,107
452,Lindsey,GRAHAM,SENATOR,R,SC,,G000359,113
453,Phil,GRAMM,SENATOR,R,TX,,G000365,107
454,Rod,GRAMS,SENATOR,R,MN,,G000367,106
1487,Kay,GRANGER,REPRESENTATIVE,R,TX,12,G000377,113
457,Chuck,GRASSLEY,SENATOR,R,IA,,G000386,113
2245,Garret,GRAVES,REPRESENTATIVE,R,LA,6,G000577,114
1979,Tom,GRAVES,REPRESENTATIVE,R,GA,14,G000560,113
1656,Sam,GRAVES,REPRESENTATIVE,R,MO,6,G000546,113
1914,Alan,GRAYSON,REPRESENTATIVE,D,FL,9,G000556,113
1559,Mark,GREEN,REPRESENTATIVE,R,WI,8,G000545,107
1803,Al,GREEN,REPRESENTATIVE,D,TX,9,G000553,113
462,Gene,GREEN,REPRESENTATIVE,D,TX,29,G000410,113
465,James,GREENWOOD,REPRESENTATIVE,R,PA,8,G000439,107
466,Judd,GREGG,SENATOR,R,NH,,G000445,107
1990,Tim,GRIFFIN,REPRESENTATIVE,R,AR,2,G000567,113
2070,H.,GRIFFITH,REPRESENTATIVE,R,VA,9,G000568,113
1906,Parker,GRIFFITH,REPRESENTATIVE,R,AL,5,G000557,111
1708,Raul,GRIJALVA,REPRESENTATIVE,D,AZ,3,G000551,113
2041,Michael,GRIMM,REPRESENTATIVE,R,NY,11,G000569,113
2276,Glenn,GROTHMAN,REPRESENTATIVE,R,WI,6,G000576,114
1662,Felix,GRUCCI,REPRESENTATIVE,R,NY,1,G000547,107
2038,Frank,GUINTA,REPRESENTATIVE,R,NH,1,G000570,112
1922,Brett,GUTHRIE,REPRESENTATIVE,R,KY,2,G000558,113
478,Luis,GUTIERREZ,REPRESENTATIVE,D,IL,4,G000535,113
479,Gil,GUTKNECHT,REPRESENTATIVE,R,MN,1,G000536,107
1902,Kay,HAGAN,SENATOR,D,NC,,H001049,113
1545,Chuck,HAGEL,SENATOR,R,NE,,H001028,107
2089,Janice,HAHN,REPRESENTATIVE,D,CA,44,H001063,113
1865,John,HALL,REPRESENTATIVE,D,NY,19,H001039,110
484,Ralph,HALL,REPRESENTATIVE,R,TX,4,H000067,113
487,Tony,HALL,REPRESENTATIVE,D,OH,3,H000074,107
1919,Deborah,HALVORSON,REPRESENTATIVE,D,IL,11,H001044,111
489,Lee,HAMILTON,REPRESENTATIVE,D,IN,9,H000114,105
2010,Colleen,HANABUSA,REPRESENTATIVE,D,HI,1,H001050,113
2044,Richard,HANNA,REPRESENTATIVE,R,NY,22,H001051,113
498,James,HANSEN,REPRESENTATIVE,R,UT,1,H000172,107
2260,Cresent,HARDY,REPRESENTATIVE,R,NV,4,H001070,114
1849,Phil,HARE,REPRESENTATIVE,D,IL,17,H001040,111
501,Tom,HARKIN,SENATOR,D,IA,,H000206,113
502,Jane,HARMAN,REPRESENTATIVE,D,CA,36,H000213,107
