speaker_id,first_name,last_name,type,party,state,district,bio_guide_id,congress_id
1473,Julia,Carson,REPRESENTATIVE,D,IN,10,C000191,107
1665,Brad,Carson,REPRESENTATIVE,D,OK,2,C001044,107
1889,Andre,Carson,REPRESENTATIVE,D,IN,7,C001072,113
1752,John,Carter,REPRESENTATIVE,R,TX,31,C001051,113
2159,Matt,Cartwright,REPRESENTATIVE,D,PA,17,C001090,113
1693,Ed,Case,REPRESENTATIVE,D,HI,2,C001055,108
1828,Robert,Casey,SENATOR,D,PA,,C001070,113
1925,Bill,Cassidy,REPRESENTATIVE,R,LA,6,C001075,113
183,Michael,Castle,REPRESENTATIVE,R,DE,0,C000243,107
1839,Kathy,Castor,REPRESENTATIVE,D,FL,13,C001066,113
2163,Joaquin,Castro,REPRESENTATIVE,D,TX,20,C001091,113
186,Steve,Chabot,REPRESENTATIVE,R,OH,1,C000266,113
1612,Lincoln,Chafee,SENATOR,R,RI,,C001040,107
1303,John,Chafee,SENATOR,R,RI,,C000269,105
1956,Jason,Chaffetz,REPRESENTATIVE,R,UT,3,C001076,113
188,Saxby,Chambliss,SENATOR,R,GA,,C000286,113
1759,Ben,Chandler,REPRESENTATIVE,D,KY,6,C001058,112
194,Helen,Chenoweth-Hage,REPRESENTATIVE,R,ID,1,C000345,106
1893,Travis,Childers,REPRESENTATIVE,D,MS,1,C001074,111
1726,Chris,Chocola,REPRESENTATIVE,R,IN,2,C001052,108
196,Jon,Christensen,REPRESENTATIVE,R,NE,2,C000377,105
1970,Judy,Chu,REPRESENTATIVE,D,CA,27,C001080,113
2055,David,Cicilline,REPRESENTATIVE,D,RI,1,C001084,113
2196,Katherine,Clark,REPRESENTATIVE,D,MA,5,C001101,113
1864,Yvette,Clarke,REPRESENTATIVE,D,NY,9,C001067,113
2030,Hansen,Clarke,REPRESENTATIVE,D,MI,13,C001085,112
2200,Curt,Clawson,REPRESENTATIVE,R,FL,19,C001102,114
1654,Wm.,Clay,REPRESENTATIVE,D,MO,1,C001049,113
203,William,Clay,REPRESENTATIVE,D,MO,1,C000488,106
204,Eva,Clayton,REPRESENTATIVE,D,NC,1,C000494,107
1540,Max,Cleland,SENATOR,D,GA,,C001034,107
205,Bob,Clement,REPRESENTATIVE,D,TN,5,C000503,107
1631,Hillary,Clinton,SENATOR,D,NY,,C001041,107
208,James,Clyburn,REPRESENTATIVE,D,SC,6,C000537,113
209,Daniel,Coats,SENATOR,R,IN,,C000542,113
211,Howard,Coble,REPRESENTATIVE,R,NC,6,C000556,113
212,Tom,Coburn,SENATOR,R,OK,,C000560,113
213,Thad,Cochran,SENATOR,R,MS,,C000567,113
1912,Mike,Coffman,REPRESENTATIVE,R,CO,6,C001077,113
1742,Tom,Cole,REPRESENTATIVE,R,OK,4,C001053,113
1697,Norm,Coleman,SENATOR,R,MN,,C001057,110
