mods_file,congress_id,context,bill_number,bill_type
CREC-2017-01-10-pt1-PgS206.xml,115,FIRSTPARAGRAPH,82,S
CREC-2017-01-10-pt1-PgS206.xml,115,HEADERLINE,90,S
CREC-2017-01-10-pt1-PgS220-3.xml,115,FIRSTPARAGRAPH,3,SCONRES
CREC-2017-01-10-pt1-PgS220-3.xml,115,OTHER,3,SCONRES
CREC-2017-01-11-pt1-PgH313-3.xml,115,FIRSTPARAGRAPH,11,HRES
CREC-2017-01-11-pt1-PgH313-3.xml,115,OTHER,11,HRES
CREC-2017-01-11-pt1-PgH316-3.xml,115,FIRSTPARAGRAPH,40,HRES
CREC-2017-01-11-pt1-PgH316-3.xml,115,OTHER,371,HR
CREC-2017-01-11-pt1-PgH316-3.xml,115,OTHER,40,HRES
CREC-2017-01-11-pt1-PgH316-3.xml,115,OTHER,78,HR
CREC-2017-01-11-pt1-PgH316-3.xml,115,OTHER,238,HR
CREC-2017-01-11-pt1-PgH316-3.xml,115,TITLE,238,HR
CREC-2017-01-11-pt1-PgH316-3.xml,115,TITLE,78,HR
CREC-2017-01-11-pt1-PgH316-3.xml,115,OTHER,39,HR
CREC-2017-01-11-pt1-PgH316-3.xml,115,HEADERLINE,40,HRES
CREC-2017-01-11-pt1-PgH322.xml,115,OTHER,39,HR
CREC-2017-01-11-pt1-PgH322.xml,115,FIRSTPARAGRAPH,39,HR
CREC-2017-01-11-pt1-PgH323-2.xml,115,OTHER,21,HR
CREC-2017-01-11-pt1-PgH323-2.xml,115,OTHER,26,HR
CREC-2017-01-11-pt1-PgH323-2.xml,115,OTHER,33,HRES
CREC-2017-01-11-pt1-PgH323-2.xml,115,HEADERLINE,5,HR
CREC-2017-01-11-pt1-PgH323-2.xml,115,OTHER,5,HR
CREC-2017-01-11-pt1-PgH323-2.xml,115,OTHER,33,HR
CREC-2017-01-11-pt1-PgH372-2.xml,115,OTHER,45,HRES
CREC-2017-01-11-pt1-PgH372-2.xml,115,HEADERLINE,45,HRES
CREC-2017-01-11-pt1-PgS224-2.xml,115,OTHER,3,SCONRES
CREC-2017-01-11-pt1-PgS224-2.xml,115,FIRSTPARAGRAPH,3,SCONRES
CREC-2017-01-11-pt1-PgS260.xml,115,HEADERLINE,3,SCONRES
CREC-2017-01-11-pt1-PgS260.xml,111,OTHER,13,SCONRES
CREC-2017-01-11-pt1-PgS260.xml,114,OTHER,11,SCONRES
CREC-2017-01-11-pt1-PgS260.xml,115,OTHER,3,SCONRES
CREC-2017-01-11-pt1-PgS280.xml,115,OTHER,98,S
CREC-2017-01-11-pt1-PgS280.xml,115,HEADERLINE,98,S
CREC-2017-01-11-pt1-PgS280.xml,115,FIRSTPARAGRAPH,98,S
CREC-2017-01-12-pt1-PgH396.xml,115,OTHER,256,HR
CREC-2017-01-12-pt1-PgH403-3.xml,115,OTHER,437,HR
CREC-2017-01-12-pt1-PgH403-3.xml,115,FIRSTPARAGRAPH,437,HR
CREC-2017-01-12-pt1-PgH404-6.xml,115,OTHER,40,HRES
